transaction_id,supplier_id,product_id,transaction_amount,delivery_time,ownership_frequency,fraud_label
1,202,1935,1458.5833937263428,23.950882764702293,8,0
2,448,2951,4100.123010303825,27.557858944169688,2,0
3,370,1241,2681.417349791933,11.434028712813685,1,0
4,206,3043,4405.320252937742,9.902196184061527,1,0
5,171,4936,2895.1587936088554,6.660717772584593,4,0
6,288,1001,196.8577041704621,20.676243890866857,6,0
7,120,3272,3393.3300273580917,10.369891348323781,9,0
8,202,3848,272.02516171666485,29.644736633876466,1,0
9,221,2768,21832.533221912618,0.1,13,1
10,314,2949,4650.662137641914,12.429945356696216,5,0
11,430,3636,867.7594997223583,18.496691690149007,5,0
12,187,3163,1979.8681470606432,24.248844502547843,5,0
13,472,4737,3662.808528799968,14.616041295023377,6,0
14,199,1917,4417.179852669496,13.257024979879791,8,0
15,459,4174,3371.167873475414,29.87349717424944,3,0
16,251,3241,1327.9576082462877,1.304315593058389,9,0
17,230,4237,3389.30887193527,26.95689337668613,1,0
18,249,3918,1518.8018234652454,5.325083952252386,4,0
19,408,1089,3606.2246876027393,23.79183301005849,9,0
20,357,2709,4772.46398154595,18.920015235542643,8,0
21,443,3169,3620.897582976127,10.91357127944467,9,0
22,393,1142,4321.258489416441,26.34237371010953,1,0
23,485,4041,394.7017489006979,0.1,32,1
24,291,1105,3601.9820174213924,7.574028910172786,3,0
25,376,1886,4156.458406482989,17.439891091236547,9,0
26,260,1427,250.76575084617303,11.194725541441242,1,0
27,413,2328,4364.408750076742,18.700947364231503,1,0
28,121,2895,1320.6364301347269,1.6991956088513378,9,0
29,352,2994,3343.1959047913733,4.377308983969663,6,0
30,335,1316,4011.756651165863,4.6857909663347375,4,0
31,444,2986,28044.663137205527,0.1,37,1
32,148,1634,506.80972076262333,14.32061178321574,5,0
33,158,2925,3001.7915183588234,22.811732286763565,7,0
34,269,3056,2770.439100774611,27.26062629993813,8,0
35,287,3821,4506.590276967644,25.225803378243135,8,0
36,370,4144,2050.986661738835,6.709748281494823,1,0
37,289,4430,1639.351430580898,13.793366014688338,8,0
38,274,3270,3761.761283960508,6.782936334997515,6,0
39,150,2439,2092.7428641128135,8.669682683348533,4,0
40,463,1552,3248.1760662750617,15.602862463844698,8,0
41,154,4441,17082.821179528622,0.1,22,1
42,343,1715,4445.793368582583,7.327055558204923,4,0
43,419,2287,3013.527391479532,28.1259666779064,6,0
44,230,4911,2535.660369311835,14.51737248709618,7,0
45,406,2713,737.4130656627592,13.916209253358295,4,0
46,234,2883,622.9011530595916,1.422447487787088,4,0
47,120,4389,813.891748151243,8.174592664692028,7,0
48,428,2107,900.6499825691178,26.122480643483257,6,0
49,266,2341,3207.491608684988,5.774224419501394,8,0
50,373,1110,3717.8571888591637,13.03862324650691,1,0
51,487,1250,2673.4580384857727,1.4155962701430362,7,0
52,188,3430,4153.63777610018,14.871728968446119,7,0
53,415,3054,4956.752972331485,1.6096120950602975,7,0
54,113,1458,4109.062514140813,24.768677038908194,7,0
55,341,2107,3489.667749695998,24.920759257126004,8,0
56,364,1207,2685.838862213876,23.844523460768727,9,0
57,445,1899,2271.822704789806,9.217557997842428,9,0
58,152,4461,467.7422836954846,25.279879328432724,2,0
59,485,4385,2026.87530455372,16.74694584555281,7,0
60,439,1021,4555.166452071565,11.840435157143071,7,0
61,191,1409,4049.7120180374372,19.134568831422758,4,0
62,466,1894,1119.4542568078516,1.357890335750846,9,0
63,363,1514,2359.7085342512187,5.145865450421812,8,0
64,134,4198,22681.89180281374,0.1,16,1
65,305,1808,383.5535461883365,8.080686652768437,2,0
66,180,4771,1967.5932990598635,18.34226440253374,2,0
67,149,1873,4266.614122526041,12.16797548186786,8,0
68,459,1013,2049.2944276421126,25.78936758517858,1,0
69,487,1970,434.1924914206323,28.620043873902663,4,0
70,101,4025,2735.545124234645,26.623377122735523,5,0
71,489,4061,4315.625349845562,8.847979846114303,9,0
72,153,4083,2971.9134376181405,6.630723202336386,7,0
